Date,Source,Counterparty,Category,Amount,Bucket/Type,Flag
2026-05-27,Ramp,ARCO,Fuel and Gas,-27.67,Operating Expense,
2026-05-31,Ramp,Vons,Supermarkets and Grocery Stores,-27.11,Operating Expense,
2026-05-02,Mercury,Instacart,FoodDelivery,-26.58,Operating Expense,
2026-05-27,Ramp,Instacart,Supermarkets and Grocery Stores,-25.87,Operating Expense,
2026-05-27,Ramp,Instacart,Supermarkets and Grocery Stores,-25.87,Operating Expense,
2026-05-22,Ramp,CVS Pharmacy,Supermarkets and Grocery Stores,-24.78,Operating Expense,
2026-05-13,Mercury,Amazon,Retail,-24.76,Operating Expense,
2026-05-19,Ramp,Descanso Beach Club,Restaurants,-23.74,Operating Expense,
2026-05-20,Ramp,Amazon,General Merchandise,-23.68,Operating Expense,
2026-05-10,Mercury,Amazon,Retail,-23.67,Operating Expense,
2026-05-28,Ramp,Golden Mandarin,Restaurants,-22.71,Operating Expense,
2026-05-03,Mercury,Manhattan Pizzeria,Restaurants,-22.50,Operating Expense,
2026-05-05,Mercury,California Surf Cl,Restaurants,-22.39,Operating Expense,
2026-05-16,Mercury,Target,Retail,-21.95,Operating Expense,
2026-05-20,Ramp,Amazon,General Merchandise,-21.54,Operating Expense,
2026-05-26,Ramp,Sathien,Restaurants,-21.40,Operating Expense,
2026-05-27,Ramp,Uber,Taxi and Rideshare,-21.17,Operating Expense,
2026-05-22,Mercury,Upwork,ProfessionalServices,-21.00,Operating Expense,
2026-05-30,Ramp,Uber,Taxi and Rideshare,-20.87,Operating Expense,
2026-05-28,Ramp,7-Eleven,Fuel and Gas,-20.34,Operating Expense,
2026-05-26,Ramp,Skiplagged,Travel Misc,-20.00,Operating Expense,
2026-05-30,Ramp,Vons,Supermarkets and Grocery Stores,-19.75,Operating Expense,
2026-05-05,Mercury,Amazon,Retail,-19.63,Operating Expense,
2026-05-20,Ramp,Amazon,General Merchandise,-19.38,Operating Expense,
2026-05-28,Ramp,175 Rocket Launcher,Fuel and Gas,-19.02,Operating Expense,
2026-05-26,Ramp,Bowl To Go,Restaurants,-18.30,Operating Expense,
2026-05-28,Ramp,Bacio di Latte,Supermarkets and Grocery Stores,-18.10,Operating Expense,
2026-05-22,Ramp,Garden Grill Restaurant,Restaurants,-17.92,Operating Expense,
2026-05-31,Ramp,Uber,Taxi and Rideshare,-16.67,Operating Expense,
2026-05-03,Mercury,Shellback Tavern,AlcoholAndBars,-16.31,Operating Expense,
2026-05-19,Ramp,Village Kitchen & Pie Shoppe,Restaurants,-15.90,Operating Expense,
2026-05-21,Ramp,Blaze Pizza,Restaurants,-15.68,Operating Expense,
2026-05-18,Ramp,HomeGoods,Clothing,-15.06,Operating Expense,
2026-05-09,Mercury,Tacos El Goloso,Restaurants,-14.22,Operating Expense,
2026-05-20,Ramp,Pete's Avalon's Plaza Cafe,Restaurants,-13.92,Operating Expense,
2026-05-11,Mercury,Amazon,Retail,-13.55,Operating Expense,
2026-05-07,Mercury,Tacomiendo,Restaurants,-13.54,Operating Expense,
2026-05-29,Ramp,Tacomiendo,Restaurants,-13.54,Operating Expense,
2026-05-27,Ramp,Autograph Collection Hotels,Lodging,-13.05,Operating Expense,
2026-05-06,Mercury,Walkabout,Software,-12.99,Operating Expense,
2026-05-30,Ramp,Starbucks,Restaurants,-12.60,Operating Expense,
2026-05-31,Ramp,Klatch Coffee,Restaurants,-11.47,Operating Expense,
2026-05-31,Ramp,7-Eleven,Fuel and Gas,-11.43,Operating Expense,
2026-05-28,Ramp,The Grounds Bean Bar,Restaurants,-11.29,Operating Expense,
2026-05-27,Ramp,Ross Dress for Less,General Merchandise,-10.96,Operating Expense,
2026-05-26,Ramp,HomeGoods,Clothing,-10.76,Operating Expense,
2026-05-20,Ramp,Amazon,General Merchandise,-10.76,Operating Expense,
2026-05-20,Ramp,Amazon,General Merchandise,-10.76,Operating Expense,
2026-05-22,Ramp,Starbucks,Restaurants,-10.60,Operating Expense,
2026-05-14,Mercury,Upwork,ProfessionalServices,-10.50,Operating Expense,
2026-05-06,Mercury,TESLA MOTORS,Travel & Transportation,-9.99,Operating Expense,
2026-05-29,Ramp,Uber,Taxi and Rideshare,-9.93,Operating Expense,
2026-05-14,Ramp,NEW YORK BAGEL,Restaurants,-9.91,Operating Expense,
2026-05-27,Ramp,Starbucks,Restaurants,-9.70,Operating Expense,
2026-05-20,Ramp,Amazon,General Merchandise,-9.69,Operating Expense,
2026-05-28,Ramp,TANNER'S COFFEE,Restaurants,-9.50,Operating Expense,
2026-05-15,Ramp,Paris Cafe,Restaurants,-9.24,Operating Expense,
2026-05-15,Ramp,MTA,Travel Misc,-8.75,Operating Expense,
2026-05-13,Mercury,Amazon,Retail,-8.61,Operating Expense,
2026-05-19,Ramp,Amazon,General Merchandise,-8.61,Operating Expense,
2026-05-15,Ramp,Wifionboard Mx,Office,-8.00,Operating Expense,
2026-05-13,Mercury,The Hive - Superfood Eats,Restaurants,-7.63,Operating Expense,
2026-05-20,Ramp,Atwater's,Restaurants,-7.61,Operating Expense,
2026-05-20,Ramp,Amazon,General Merchandise,-7.52,Operating Expense,
2026-05-30,Ramp,Starbucks,Restaurants,-7.25,Operating Expense,
2026-05-07,Mercury,Squarespace,Software,-7.05,Operating Expense,
2026-05-21,Ramp,Pure Project,Alcohol and Bars,-7.02,Operating Expense,
2026-05-12,Mercury,Farmers Market Parking,Parking,-7.00,Operating Expense,
2026-05-26,Mercury,Blue Bottle Coffee Company,Restaurants,-6.75,Operating Expense,
2026-05-24,Mercury,Blue Bottle Coffee Company,Restaurants,-6.75,Operating Expense,
2026-05-12,Mercury,Blue Bottle Coffee Company,Restaurants,-6.75,Operating Expense,
2026-05-06,Mercury,Blue Bottle Coffee Company,Restaurants,-6.75,Operating Expense,
2026-05-29,Ramp,Blue Bottle Coffee,Restaurants,-6.75,Operating Expense,
2026-05-26,Ramp,ProBody Warehouse,Supermarkets and Grocery Stores,-6.50,Operating Expense,
2026-05-27,Ramp,Sprouts Farmers Market,Supermarkets and Grocery Stores,-6.49,Operating Expense,
2026-05-31,Ramp,ARCO,Fuel and Gas,-6.48,Operating Expense,
2026-05-09,Mercury,Super Domestic Mar,Restaurants,-6.25,Operating Expense,
2026-05-22,Ramp,ARCO,Fuel and Gas,-6.09,Operating Expense,
2026-05-29,Ramp,Starbucks,Restaurants,-5.45,Operating Expense,
2026-05-18,Ramp,Starbucks,Restaurants,-5.45,Operating Expense,
2026-05-30,Ramp,CSC ServiceWorks,Office supplies and cleaning,-5.25,Operating Expense,
2026-05-15,Ramp,MTA,Travel Misc,-5.25,Operating Expense,
2026-05-17,Mercury,The Barista Botani,Restaurants,-4.85,Operating Expense,
2026-05-02,Mercury,The Boy & The Bear,Restaurants,-4.75,Operating Expense,
2026-05-29,Ramp,San Diego,Restaurants,-4.71,Operating Expense,
2026-05-25,Mercury,Bianca,Restaurants,-4.42,Operating Expense,
2026-05-16,Mercury,Hob Coffee East Village,Restaurants,-4.00,Operating Expense,
2026-05-21,Ramp,Catalina Express,Other,-3.00,Operating Expense,
2026-05-19,Ramp,Park Smarter,Parking,-2.50,Operating Expense,
2026-05-29,Mercury,Squarespace,Software,-1.08,Operating Expense,
2026-05-29,Mercury,Squarespace,Software,-1.08,Operating Expense,
2026-05-15,Mercury,RAMP,Taxes,-0.73,Operating Expense,
2026-05-14,Mercury,RAMP,Uncategorized,0.13,Operating Expense,
2026-05-14,Mercury,RAMP,Uncategorized,0.60,Operating Expense,
2026-05-17,Mercury,Amazon,Retail,10.76,Operating Expense,
2026-05-22,Ramp,Etsy,General Merchandise,199.75,Operating Expense,
2026-05-17,Mercury,Boot Barn,Clothing,242.40,Operating Expense,
2026-05-15,Mercury,CHASE CREDIT CRD,Owner Pay,-8000.00,Harrison Distribution,Owner Pay Direct Transfer (Harrison)
2026-05-08,Mercury,Chase - Checking ••8371,Owner Pay,-4000.00,Harrison Distribution,Owner Pay Direct Transfer (Harrison)
2026-05-15,Mercury,AMEX EPAYMENT,Owner Pay,-2047.24,Harrison Distribution,Owner Pay Direct Transfer (Harrison)
2026-05-29,Mercury,Chase - Checking ••8371,Owner Pay,-1500.00,Harrison Distribution,Owner Pay Direct Transfer (Harrison)
2026-05-30,Mercury,ADP WAGE PAY,Payroll,-4868.62,Payroll,
2026-05-19,Mercury,ADP WAGE PAY,Payroll,-3697.20,Payroll,
2026-05-01,Mercury,ADP WAGE PAY,Payroll,-2456.02,Payroll,
2026-05-30,Mercury,ADP Tax,Payroll,-1417.30,Payroll,
2026-05-07,Mercury,VENMO,Pay,-1200.00,Payroll,Venmo/CashApp Pay
2026-05-19,Mercury,ADP Tax,Payroll,-1073.56,Payroll,
2026-05-01,Mercury,VENMO,Pay,-700.00,Payroll,Venmo/CashApp Pay
2026-05-02,Mercury,ADP Tax,Payroll,-636.34,Payroll,
